time,Right Leg Pos,Left Leg Pos,Commanded Right Leg Pos,Commanded Left Leg Pos,DCR,DCL,GyroX,GyroY,GyroZ,AX,AY,AZ,RBEMF,LBEMF,VBatt,S1,S2,S3,S4,S5,S6,S7,S8,PowerR,PowerL,Energy,TorqueR,TorqueL,VMotorR,VMotorL,AngleZ,A_mag,Gyro_mag,Fx,Fy,Fz,Mx,My,Mz,F_mag,M_mag
1.589549,4.10569966082,0.90274775042,10.2817939334,7.140201255,-1594,-228,-0.322775124118,-0.0436758418773,0.751011427402,1.10677237482,0.00265074145434,0.00265074145434,0.7068359375,0.41400390625,4.08016726404,1860,1920,2132,2356,2082,1876,1915,2008,1.62312286507,0.252319455455,4.44046360658,-0.560909171523,-0.0871950606846,-6503.78661888,-930.278136201,0.0543082462133,1.10677872338,0.818602176886,0.0238808365446,0.0720881607756,-0.0194278221657,-3.14255052689,0.861987731762,-0.0467368677036,0.078386462812,3.25896164423
1.59055,4.11682102162,0.90850017842,10.2880257304,7.146433052,-1757,-72,-0.323840388554,0.0181094954125,0.740358783042,1.09395992667,0.00262005539077,0.00262005539077,0.64625,0.37361328125,4.09784946237,1860,1920,2132,2356,2082,1876,1915,2008,1.83854501043,0.0812927515936,4.44238536417,-0.632611931824,-0.02797144717,-7199.92150538,-295.04516129,0.0550486049964,1.09396620173,0.808289353332,0.0255713051816,0.0718324486006,-0.0198520407408,-3.12283476161,0.906179339766,0.00534921783142,0.0787902014354,3.25165904706
1.591551,4.12870937282,0.91578658722,10.2942575274,7.152664849,-1929,-285,-0.338754090658,0.00532632218016,0.720118758757,1.0806515855,0.00258818165373,0.00258818165373,0.53517578125,0.47458984375,4.09784946237,1835,1896,2105,2331,2113,1898,1935,2041,2.08348503544,0.313059167617,4.44478430492,-0.716891610332,-0.107718311859,-7904.7516129,-1167.88709677,0.0557687237551,1.08065778422,0.795835240712,0.0272666045041,0.0716022309405,-0.0202778250663,-3.10390961321,0.950576350599,0.0572315934813,0.0792561504633,3.24670998714
1.592552,4.13906374322,0.92115552002,10.3004893244,7.158896646,-1783,-25,-0.361124643815,-0.0287621397729,0.688160825676,1.06689105851,0.00255522492285,0.00255522492285,0.5856640625,0.3837109375,4.09342891278,1835,1896,2105,2331,2113,1898,1935,2041,1.89406631306,0.0280862830298,4.44670837967,-0.652419660464,-0.00967444651314,-7298.58375149,-102.33572282,0.0564568845808,1.06689717831,0.777691192602,0.0289646063001,0.0713925934205,-0.0207030466828,-3.08560007466,0.995163905451,0.108807959589,0.0797776093611,3.24393560225
1.593553,4.15133558962,0.92767493842,10.3067211214,7.165128443,-2110,-179,-0.389886783588,-0.0511326929295,0.641289190491,1.05273585976,0.00252132294537,0.00252132294537,0.73712890625,0.39380859375,4.0890083632,1835,1896,2105,2331,2113,1898,1935,2041,2.13951313982,0.200094459799,4.44905032688,-0.737761642724,-0.068997948465,-8627.80764636,-731.932497013,0.0570981737713,1.05274189836,0.75224868371,0.0306631530547,0.0711985142149,-0.0211252920697,-3.06772958351,1.03991521843,0.15997265242,0.0803475907959,3.24314349183
1.594554,4.16130646482,0.93381086162,10.3129529184,7.17136024,-1858,-128,-0.405865750128,-0.035153726389,0.594417555306,1.03825276225,0.00248663564397,0.00248663564397,0.72703125,0.40390625,4.09784946237,1835,1896,2105,2331,2113,1898,1935,2041,1.89872974398,0.143344916731,4.45109444361,-0.653320470555,-0.0493225372106,-7613.80430108,-524.524731183,0.0576925913266,1.03825871778,0.720621274777,0.0323600305288,0.0710148835193,-0.0215418579525,-3.05011947496,1.08478897077,0.210617370505,0.0809588593122,3.24412632297
1.595555,4.17664627282,0.93802930882,10.3191847154,7.177592037,-2674,148,-0.407996279,-0.0617853372898,0.572047002149,1.02351202779,0.00245133129701,0.00245133129701,0.57556640625,0.5048828125,4.09784946237,1835,1896,2105,2331,2113,1898,1935,2041,2.85540535009,0.161211869323,4.45411407745,-0.98249620456,0.0554702503917,-10957.6494624,606.48172043,0.0582646383288,1.02351789876,0.705348257423,0.0340529714687,0.0708365625545,-0.0219498071036,-3.03259083788,1.12973029697,0.260632320927,0.0816040286522,3.24666397101
1.596556,4.18623365282,0.94493222242,10.3254165124,7.183823834,-1968,-210,-0.420779452233,-0.122505410144,0.5528722423,1.00858432247,0.00241557915121,0.00241557915121,0.5452734375,0.40390625,4.09784946237,1835,1896,2105,2331,2113,1898,1935,2041,2.11958377803,0.235175254012,4.45647119124,-0.729312571014,-0.0809197876111,-8064.56774194,-860.548387097,0.0588175105711,1.00859010781,0.705500275862,0.0357396691024,0.0706584497685,-0.0223460385721,-3.01496692726,1.17467281657,0.309907425622,0.0822756702258,3.25052678975
1.597557,4.19812200402,0.95260212642,10.3316483094,7.190055631,-2340,-329,-0.427171038849,-0.197073920666,0.529436424708,0.993536635709,0.00237953964753,0.00237953964753,0.77751953125,0.525078125,4.0890083632,1838,1908,2130,2340,2151,1926,1964,2073,2.34413847484,0.354706545995,4.45917273511,-0.808321958758,-0.122312351903,-9568.27956989,-1345.28375149,0.0593469469958,0.993542334737,0.708248652978,0.0374177730858,0.0704755703219,-0.0227273911009,-2.99707667149,1.21954022125,0.358332372008,0.0829664393665,3.25547984402
1.598558,4.21039385042,0.95912154482,10.3378801064,7.196287428,-2468,-183,-0.404800485692,-0.239684498107,0.527305895836,0.978428155285,0.00234335454183,0.00234335454183,0.6664453125,0.51498046875,4.0890083632,1838,1908,2130,2340,2151,1926,1964,2073,2.55529310922,0.19785778298,4.46192863915,-0.881133752728,-0.0682266821737,-10091.6726404,-748.288530466,0.0598742528916,0.978433767649,0.706656634889,0.0390848358284,0.0702832458169,-0.0230908532566,-2.97876182938,1.26424684153,0.405793581463,0.0836692687814,3.26128970551
